"district","PVI","incumbent","clinton_vote","clinton_pct","trump_vote","trump_pct"
"OH-14","R+5","David Joyce (R)","155559","42.0%","197943","53.4%"
"OH-15","R+7","Steve Stivers (R)","141269","39.6%","197102","55.2%"
"OH-16","R+8","Anthony Gonzalez (R)","145669","39.4%","207151","56.1%"
"OK-01","R+17","Kevin Hern (R)","101757","32.7%","191343","61.4%"
"OK-02","R+24","Markwayne Mullin (R)","62022","22.8%","198155","72.9%"
"OK-03","R+27","Frank Lucas (R)","61179","20.9%","216078","73.6%"
"OK-04","R+20","Tom Cole (R)","84023","28.4%","193819","65.6%"
"OK-05","R+10","Kendra Horn (D)","111394","39.7%","149741","53.3%"
"OR-01","D+9","Suzanne Bonamici (D)","219420","55.0%","132161","33.1%"
"OR-02","R+11","Greg Walden (R)","139059","35.3%","215711","54.7%"
"OR-03","D+24","Earl Blumenauer (D)","282341","68.4%","89678","21.7%"
"OR-04","EVEN","Peter DeFazio (D)","180872","44.5%","180318","44.4%"
"OR-05","EVEN","Kurt Schrader (D)","180415","46.4%","164535","42.3%"
"PA-01","R+1","Brian Fitzpatrick (R)","","49.1%","","47.1%"
"PA-02","D+25","Brendan Boyle (D)","","72.9%","","24.9%"
"PA-03","D+41","Dwight Evans (D)","","90.9%","","7.0%"
"PA-04","D+7","Madeleine Dean (D)","","57.9%","","38.5%"
"PA-05","D+13","Mary Gay Scanlon (D)","","62.6%","","34.4%"
"PA-06","D+2","Chrissy Houlahan (D)","","52.6%","","43.3%"
"PA-07","D+1","Susan Wild (D)","","48.7%","","47.6%"
"PA-08","R+1","Matt Cartwright (D)","","43.7%","","53.2%"
"PA-09","R+14","Dan Meuser (R)","","31.0%","","65.0%"
"PA-10","R+6","Scott Perry (R)","","43.4%","","52.3%"
"PA-11","R+14","Lloyd Smucker (R)","","34.7%","","60.5%"
"PA-12","R+17","VACANT (Marino) (R)","","29.8%","","66.3%"
"PA-13","R+22","John Joyce (R)","","25.5%","","71.0%"
"PA-14","R+14","Guy Reschenthaler (R)","","33.9%","","62.9%"
"PA-15","R+20","Glenn Thompson (R)","","26.6%","","70.0%"
"PA-16","R+8","Mike Kelly (R)","","38.0%","","57.9%"
"PA-17","R+3","Conor Lamb (D)","","46.7%","","49.2%"
"PA-18","D+13","Mike Doyle (D)","","61.7%","","34.9%"
"RI-01","D+14","David Cicilline (D)","130047","59.2%","75373","34.3%"
"RI-02","D+6","Jim Langevin (D)","121421","49.9%","104886","43.1%"
"SC-01","R+10","Joe Cunningham (D)","136255","40.5%","178979","53.2%"
"SC-02","R+12","Joe Wilson (R)","118595","38.1%","176416","56.7%"
"SC-03","R+19","Jeff Duncan (R)","82301","29.0%","190281","67.0%"
"SC-04","R+15","William Timmons (R)","104190","34.2%","182019","60.0%"
"SC-05","R+9","Ralph Norman (R)","118840","38.8%","175541","57.3%"
"SC-06","D+19","Jim Clyburn (D)","177914","67.1%","78736","29.7%"
"SC-07","R+9","Tom Rice (R)","117277","39.2%","173415","57.9%"
"SD-AL","R+14","Dusty Johnson (R)","117458","31.7%","227721","61.5%"
"TN-01","R+28","Phil Roe (R)","52241","19.6%","203671","76.4%"
"TN-02","R+20","Tim Burchett (R)","86213","29.5%","188953","64.7%"
"TN-03","R+18","Chuck Fleischmann (R)","83534","30.0%","180985","65.1%"
"TN-04","R+20","Scott DesJarlais (R)","75809","27.2%","189547","68.1%"
"TN-05","D+7","Jim Cooper (D)","156613","56.0%","105795","37.9%"
"TN-06","R+24","John Rose (R)","70543","23.6%","216443","72.3%"
"TN-07","R+20","Mark Green (R)","82325","28.0%","196860","67.0%"
"TN-08","R+19","David Kustoff (R)","91039","30.5%","196716","65.8%"
"TN-09","D+28","Steve Cohen (D)","172377","76.9%","43955","19.6%"
